character_id,run_id,system_time
0,0,place_holder
1,1,2023-01-25 20:07:47.720131
2,1,2023-01-25 20:07:47.728256
3,1,2023-01-25 20:07:47.730874
6,1,2023-01-25 20:07:47.732550
7,1,2023-01-25 20:07:47.733987
8,1,2023-01-25 20:07:47.735417
9,1,2023-01-25 20:07:47.736803
10,1,2023-01-25 20:07:47.738242
11,1,2023-01-25 20:07:47.739621
12,1,2023-01-25 20:07:47.741237
1,2,2023-01-28 17:51:08.808992
2,2,2023-01-28 17:51:08.815628
3,2,2023-01-28 17:51:08.817666
6,2,2023-01-28 17:51:08.819104
7,2,2023-01-28 17:51:08.820498
8,2,2023-01-28 17:51:08.821833
9,2,2023-01-28 17:51:08.823121
10,2,2023-01-28 17:51:08.824455
11,2,2023-01-28 17:51:08.825767
12,2,2023-01-28 17:51:08.827046
1,3,2023-01-28 17:51:09.878565
2,3,2023-01-28 17:51:09.880026
3,3,2023-01-28 17:51:09.881606
6,3,2023-01-28 17:51:09.883236
7,3,2023-01-28 17:51:09.885627
8,3,2023-01-28 17:51:09.887308
9,3,2023-01-28 17:51:09.889312
10,3,2023-01-28 17:51:09.890760
11,3,2023-01-28 17:51:09.892401
12,3,2023-01-28 17:51:09.894018
1,4,2023-01-28 17:51:10.718990
2,4,2023-01-28 17:51:10.720495
3,4,2023-01-28 17:51:10.721755
6,4,2023-01-28 17:51:10.722955
7,4,2023-01-28 17:51:10.724143
8,4,2023-01-28 17:51:10.725332
9,4,2023-01-28 17:51:10.726852
10,4,2023-01-28 17:51:10.728346
11,4,2023-01-28 17:51:10.729719
12,4,2023-01-28 17:51:10.731282
1,5,2023-01-28 17:51:11.573583
2,5,2023-01-28 17:51:11.574923
3,5,2023-01-28 17:51:11.576306
6,5,2023-01-28 17:51:11.577723
7,5,2023-01-28 17:51:11.578985
8,5,2023-01-28 17:51:11.580211
9,5,2023-01-28 17:51:11.581701
10,5,2023-01-28 17:51:11.583167
11,5,2023-01-28 17:51:11.584669
12,5,2023-01-28 17:51:11.586165
1,6,2023-01-28 20:28:01.395662
2,6,2023-01-28 20:28:01.397585
3,6,2023-01-28 20:28:01.399144
6,6,2023-01-28 20:28:01.400672
7,6,2023-01-28 20:28:01.402389
8,6,2023-01-28 20:28:01.404142
9,6,2023-01-28 20:28:01.405546
10,6,2023-01-28 20:28:01.406925
11,6,2023-01-28 20:28:01.408248
12,6,2023-01-28 20:28:01.409503
1,17,2023-02-05 12:00:34.408768
2,17,2023-02-05 12:00:34.411667
3,17,2023-02-05 12:00:34.414035
6,17,2023-02-05 12:00:34.418174
7,17,2023-02-05 12:00:34.421329
8,17,2023-02-05 12:00:34.424727
9,17,2023-02-05 12:00:34.428118
10,17,2023-02-05 12:00:34.431981
11,17,2023-02-05 12:00:34.435117
12,17,2023-02-05 12:00:34.437999
1,18,2023-02-05 12:02:25.692806
2,18,2023-02-05 12:02:25.695241
3,18,2023-02-05 12:02:25.697460
6,18,2023-02-05 12:02:25.699713
7,18,2023-02-05 12:02:25.702113
8,18,2023-02-05 12:02:25.704529
9,18,2023-02-05 12:02:25.707205
10,18,2023-02-05 12:02:25.709202
11,18,2023-02-05 12:02:25.711008
12,18,2023-02-05 12:02:25.712849
1,19,2023-02-05 12:04:45.777689
2,19,2023-02-05 12:04:45.782170
3,19,2023-02-05 12:04:45.784503
6,19,2023-02-05 12:04:45.786535
7,19,2023-02-05 12:04:45.788723
8,19,2023-02-05 12:04:45.791612
9,19,2023-02-05 12:04:45.794256
10,19,2023-02-05 12:04:45.797583
11,19,2023-02-05 12:04:45.799676
12,19,2023-02-05 12:04:45.801592
1,20,2023-02-05 12:05:31.447463
2,20,2023-02-05 12:05:31.451070
3,20,2023-02-05 12:05:31.453054
6,20,2023-02-05 12:05:31.454959
7,20,2023-02-05 12:05:31.456851
8,20,2023-02-05 12:05:31.459023
9,20,2023-02-05 12:05:31.461376
10,20,2023-02-05 12:05:31.463581
11,20,2023-02-05 12:05:31.466161
12,20,2023-02-05 12:05:31.468054
6,21,2023-02-05 12:07:45.560994
7,21,2023-02-05 12:07:45.563116
8,21,2023-02-05 12:07:45.565244
9,21,2023-02-05 12:07:45.568068
10,21,2023-02-05 12:07:45.570024
11,21,2023-02-05 12:07:45.571991
12,21,2023-02-05 12:07:45.573901
22,1,2023-02-06 20:37:16.435915
22,2,2023-02-06 20:37:16.438424
22,3,2023-02-06 20:37:16.440927
22,6,2023-02-06 20:37:16.443606
22,7,2023-02-06 20:37:16.445524
22,8,2023-02-06 20:37:16.447633
22,9,2023-02-06 20:37:16.450006
22,10,2023-02-06 20:37:16.451918
22,11,2023-02-06 20:37:16.453692
22,12,2023-02-06 20:37:16.455563
23,1,2023-02-06 20:38:17.082943
23,2,2023-02-06 20:38:17.085390
23,3,2023-02-06 20:38:17.087349
23,6,2023-02-06 20:38:17.089253
23,7,2023-02-06 20:38:17.091156
23,8,2023-02-06 20:38:17.093205
23,9,2023-02-06 20:38:17.095393
23,10,2023-02-06 20:38:17.097798
23,11,2023-02-06 20:38:17.100455
23,12,2023-02-06 20:38:17.102227
