boss_id,item_id
5,39190
5,39193
5,39189
5,39139
5,39191
5,39141
5,39140
5,39188
5,39146
5,39192
21,39712
21,39716
21,39714
21,39717
21,39702
21,39718
21,39719
21,39722
21,39701
21,39720
21,39704
21,39706
21,39703
21,39721
21,40065
21,40080
21,40074
21,40069
21,40075
21,40064
21,40071
21,40107
21,40108
9,40612
9,40610
9,40611
9,39394
9,39397
9,39396
9,39393
9,39395
25,40627
25,40626
25,40625
25,40349
25,40347
25,40343
25,40345
25,40346
25,40350
25,40348
25,40344
25,40352
25,40286
6,39391
6,39369
6,39390
6,39386
6,39345
6,39389
6,39388
6,39392
6,39344
6,39379
22,40334
22,40342
22,40331
22,40336
22,40339
22,40328
22,40329
22,40335
22,40338
22,40341
22,40332
22,40340
22,40337
22,40330
22,40333
22,40253
22,40250
22,40254
22,40252
22,40257
22,40256
22,40255
22,40258
22,40251
2,39195
2,39216
2,39198
2,39200
2,39199
2,39217
2,39215
2,39196
2,39194
2,39197
18,39734
18,39725
18,39732
18,39729
18,39724
18,39728
18,39756
18,39727
18,39723
18,39731
18,39735
18,39726
18,39733
18,39757
18,39730
18,40069
18,40065
18,40071
18,40080
18,40107
18,40074
18,40075
18,40108
18,40064
12,39277
12,39282
12,39285
12,39284
12,39279
12,39280
12,39283
12,39278
12,39281
12,39276
28,40279
28,40351
28,40285
28,40280
28,40288
28,40281
28,40275
28,40283
28,40278
28,40282
28,40289
28,40287
28,40277
28,40274
28,40284
28,40252
28,40258
28,40255
28,40256
28,40254
28,40257
28,40253
28,40251
28,40250
8,39245
8,39254
8,39251
8,39252
8,39249
8,39246
8,39247
8,39255
8,39248
8,39250
24,40210
24,40237
24,40234
24,40206
24,40236
24,40207
24,40205
24,40209
24,40203
24,40238
24,40233
24,40235
24,40201
24,40208
24,40204
24,40251
24,40256
24,40250
24,40254
24,40258
24,40252
24,40257
24,40255
24,40253
15,39308
15,39307
15,39296
15,39310
15,39299
15,39297
15,39311
15,39298
15,39306
15,39309
31,40323
31,40318
31,40306
31,40316
31,40317
31,40321
31,40324
31,40325
31,40320
31,40315
31,40322
31,40326
31,40319
31,40327
31,40305
31,40080
31,40107
31,40071
31,40075
31,40108
31,40064
31,40065
31,40069
31,40074
13,40618
13,40616
13,40617
13,39424
13,39421
13,39420
13,39425
13,39417
13,39416
13,39423
13,39426
13,39422
13,39419
29,40633
29,40631
29,40632
29,40405
29,40384
29,40387
29,40403
29,40385
29,40399
29,40396
29,40383
29,40388
29,40395
29,40400
29,40402
29,40398
29,40401
29,40386
7,40624
7,40622
7,40623
7,39260
7,39258
7,39257
7,39259
7,39256
23,40639
23,40637
23,40638
23,40239
23,40246
23,40247
23,40243
23,40241
23,40244
23,40245
23,40240
23,40242
23,40249
0,39221
0,39229
0,39226
0,39231
0,39225
0,39232
0,39230
0,39233
0,39228
0,39224
11,40061
11,39762
11,40063
11,39765
11,39758
11,39766
11,39767
11,39768
11,39760
11,39759
11,39764
11,40062
11,39763
11,39761
11,40060
11,40253
11,40250
11,40254
11,40257
11,40255
11,40252
11,40258
11,40256
11,40251
27,39427
27,39468
27,39473
27,39470
27,39472
27,39467
1,39241
1,39242
1,39235
1,39240
1,39236
1,39239
1,39243
1,39234
1,39237
1,39244
17,40192
17,40200
17,40197
17,40185
17,40196
17,40190
17,40186
17,40193
17,40184
17,40191
17,40198
17,40187
17,40189
17,40188
17,40602
17,40069
17,40074
17,40071
17,40080
17,40108
17,40065
17,40075
17,40107
17,40064
14,39262
14,39270
14,39267
14,39261
14,39273
14,39274
14,39271
14,39272
14,39275
30,40267
30,40273
30,40261
30,40262
30,40264
30,40265
30,40260
30,40269
30,40270
30,40263
30,40266
30,40271
30,40259
30,40272
30,40268
30,40107
30,40074
30,40069
30,40108
30,40071
30,40065
30,40064
30,40080
30,40075
4,44569
4,39415
4,39401
4,39407
4,39398
4,39404
4,39403
4,39408
4,39409
4,39399
4,39405
20,44577
20,40362
20,40375
20,40371
20,40363
20,40382
20,40369
20,40379
20,40376
20,40368
20,40377
20,40381
20,40373
20,40378
20,40372
20,40367
20,40365
20,40374
20,40380
20,40366
20,40370
10,40621
10,40619
10,40620
10,39295
10,39291
10,39294
10,39292
10,39293
26,40636
26,40634
26,40635
26,40301
26,40304
26,40299
26,40297
26,40302
26,40303
26,40296
26,40298
26,40294
26,40300
